coord_key,city_name,province,country,latitude,longitude
112,Macamic, QC, Canada,48.75,-79
113,Louiseville, QC, Canada,46.25,-72.949997
114,Lorraine, QC, Canada,45.683334,-73.783333
115,L'Île-Perrot, QC, Canada,45.383331,-73.949997
116,Lebel-sur-Quévillon, QC, Canada,49.049999,-76.98333
117,Lavaltrie, QC, Canada,45.883331,-73.283333
118,L'Assomption, QC, Canada,45.833332,-73.416664
119,L'Ancienne-Lorette, QC, Canada,46.799999,-71.349998
120,Lac-Sergent, QC, Canada,46.849998,-71.73333
121,Lachute, QC, Canada,45.650002,-74.333336
122,Lac-Delage, QC, Canada,46.966667,-71.400002
123,La Tuque, QC, Canada,47.433334,-72.783333
124,La Sarre, QC, Canada,48.799999,-79.199997
125,La Prairie, QC, Canada,45.419998,-73.5
126,La Pocatière, QC, Canada,47.366669,-70.033333
127,La Malbaie, QC, Canada,47.650002,-70.150002
128,Kirkland, QC, Canada,45.450001,-73.866669
129,Kingsey Falls, QC, Canada,45.849998,-72.066666
130,Joliette, QC, Canada,46.016666,-73.449997
131,Huntingdon, QC, Canada,45.080002,-74.169998
132,Hampstead, QC, Canada,45.483334,-73.633331
133,Grande-Rivière, QC, Canada,48.400002,-64.5
134,Granby, QC, Canada,45.400002,-72.73333
135,Gracefield, QC, Canada,46.099998,-76.050003
136,Gaspé, QC, Canada,48.833332,-64.48333
137,Fossambault-sur-le-Lac, QC, Canada,46.866669,-71.616669
138,Forestville, QC, Canada,48.733334,-69.083336
139,Fermont, QC, Canada,52.783333,-67.083336
140,Farnham, QC, Canada,45.283333,-72.98333
141,Estérel, QC, Canada,46.049999,-74.019997
142,East Angus, QC, Canada,45.483334,-71.666664
143,Duparquet, QC, Canada,48.5,-79.23333
144,Dunham, QC, Canada,45.133331,-72.800003
145,Drummondville, QC, Canada,45.883331,-72.48333
146,Dorval, QC, Canada,45.450001,-73.75
147,Donnacona, QC, Canada,46.674721,-71.729446
148,Dollard-des-Ormeaux, QC, Canada,45.483334,-73.816666
149,Dolbeau-Mistassini, QC, Canada,48.883331,-72.23333
150,Disraeli, QC, Canada,45.900002,-71.349998
151,Desbiens, QC, Canada,48.416668,-71.949997
152,Delson, QC, Canada,45.369999,-73.550003
153,Dégelis, QC, Canada,47.549999,-68.650002
154,Daveluyville, QC, Canada,46.204311,-72.137604
155,Danville, QC, Canada,45.785278,-72.015854
156,Cowansville, QC, Canada,45.207615,-72.747917
157,Coteau-du-Lac, QC, Canada,45.296394,-74.1782
158,Côte Saint-Luc, QC, Canada,45.467548,-73.652573
159,Cookshire-Eaton,QC, Canada,45.41238,-71.629128
160,Contrecœur, QC, Canada,45.85751,-73.238708
161,Coaticook, QC, Canada,45.132519,-71.80529
162,Clermont,QC, Canada,47.695621,-70.220268
163,Chibougamau, QC, Canada,49.913231,-74.369202
164,Château-Richer, QC, Canada,46.967319,-71.022614
165,Châteauguay, QC, Canada,45.363209,-73.738533
166,Charlemagne, QC, Canada,45.721001,-73.486168
167,Chapais, QC, Canada,49.781811,-74.854492
168,Chandler, QC, Canada,48.354259,-64.681107
169,Chambly, QC, Canada,45.44508,-73.287666
170,Causapscal, QC, Canada,48.365391,-67.233917
171,Carleton-sur-Mer, QC, Canada,48.10463,-66.127121
172,Carignan, QC, Canada,45.452,-73.310867
173,Cap-Santé, QC, Canada,46.670872,-71.784027
174,Cap-Chat, QC, Canada,49.09771,-66.686783
175,Candiac, QC, Canada,45.392399,-73.516579
176,Brownsburg-Chatham, QC, Canada,45.6759,-74.407372
177,Bromont, QC, Canada,45.319649,-72.648338
178,Brossard, QC, Canada,45.455151,-73.465439
179,Boucherville, QC, Canada,45.60429,-73.453583
180,Bonaventure, QC, Canada,48.04446,-65.491669
181,Bois-des-Filion, QC, Canada,45.667992,-73.756699
182,Boisbriand, QC, Canada,45.61311,-73.838768
183,Blainville, QC, Canada,45.668896,-73.872871
184,Berthierville, QC, Canada,46.081161,-73.180878
185,Beloeil, QC, Canada,45.567924,-73.203949
186,Belleterre, QC, Canada,47.389259,-78.703987
187,Bedford, QC, Canada,45.116669,-72.98333
188,Bécancour, QC, Canada,46.333332,-72.433334
189,Beaupré, QC, Canada,47.049999,-70.900002
190,Beauharnois, QC, Canada,45.32,-73.870003
191,Beauceville, QC, Canada,46.200001,-70.783333
192,Beaconsfield, QC, Canada,45.433334,-73.866669
193,Barkmere, QC, Canada,46,-74.583336
194,Baie-Saint-Paul, QC, Canada,47.450001,-70.5
195,Baie-D'Urfé, QC, Canada,45.416668,-73.916664
196,Acton Vale, QC, Canada,45.650002,-72.566666
197,Woodstock, ON, Canada,43.130554,-80.746666
198,Waterloo ON, ON, Canada,43.466667,-80.51667
199,Thunder Bay, ON, Canada,48.382221,-89.246109
200,Thorold, ON, Canada,43.116669,-79.199997
201,Temiskaming Shores, ON, Canada,47.516666,-79.683334
202,Stratford, ON, Canada,43.370834,-80.981941
203,Sault Ste. Marie, ON, Canada,46.533333,-84.349998
204,Sarnia, ON, Canada,42.999443,-82.308891
205,Peterborough, ON, Canada,44.299999,-78.316666
206,Owen Sound, ON, Canada,44.566666,-80.933334
207,Ottawa, ON, Canada,45.424721,-75.695
